RunID;AgentID;minimal TTC;0;100;200;300;400;500;600;700;800;900;1000;1100;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100;4200;4300;4400;4500;4600;4700;4800;4900;5000;5100;5200;5300;5400;5500;5600;5700;5800;5900;6000;6100;6200;6300;6400;6500;6600;6700;6800;6900;7000;7100;7200;7300;7400;7500;7600;7700;7800;7900;8000;8100;8200;8300;8400;8500;8600;8700;8800;8900;9000;9100;9200;9300;9400;9500;9600;9700;9800;9900;10000;10100;10200;10300;10400;10500;10600;10700;10800;10900;11000;11100;11200;11300;11400;11500;11600;11700;11800;11900;12000;12100;12200;12300;12400;12500;12600;12700;12800;12900;13000;13100;13200;13300;13400;13500;13600;13700;13800;13900;14000;14100;14200;14300;14400;14500;14600;14700;14800;14900;15000;15100;15200;15300;15400;15500;15600;15700;15800;15900;16000;16100;16200;16300;16400;16500;16600;16700;16800;16900;17000;17100;17200;17300;17400;17500;17600;17700;17800;17900;18000;18100;18200;18300;18400;18500;18600;18700;18800;18900;19000;19100;19200;19300;19400;19500;19600;19700;19800;19900;20000;20100;20200;20300;20400;20500;20600;20700;20800;20900;21000;21100;21200;21300;21400;21500;21600;21700;21800;21900;22000;22100;22200;22300;22400;22500;22600;22700;22800;22900;23000;23100;23200;23300;23400;23500;23600;23700;23800;23900;24000;24100;24200;24300;24400;24500;24600;24700;24800;24900;25000;25100;25200;25300;25400;25500;25600;25700;25800;25900;26000;26100;26200;26300;26400;26500;26600;26700;26800;26900;27000;27100;27200;27300;27400;27500;27600;27700;27800;27900;28000;28100;28200;28300;28400;28500;28600;28700;28800;28900;29000;29100;29200;29300;29400;29500;29600;29700;29800;29900;30000;30100;30200;30300;30400;30500;30600;30700;30800;30900;31000;31100;31200;31300;31400;31500;31600;31700;31800;31900;32000;32100;32200;32300;32400;32500;32600;32700;32800;32900;33000;33100;33200;33300;33400;33500;33600;33700;33800;33900;34000;34100;34200;34300;34400;34500;34600;34700;34800;34900;35000;35100;35200;35300;35400;35500;35600;35700;35800;35900;36000;36100;36200;36300;36400;36500;36600;36700;36800;36900;37000;37100;37200;37300;37400;37500;37600;37700;37800;37900;38000;38100;38200;38300;38400;38500;38600;38700;38800;38900;39000;39100;39200;39300;39400;39500;39600;39700;39800;39900;40000;
0;1;inf;;;;;;;;;;;;;;;;;;;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
;2;5.09629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;942.195;146.48;79.3188;54.3096;41.2306;33.178;27.7134;23.7562;20.7538;18.3943;16.4884;14.9144;13.5905;12.4598;11.4816;10.6255;9.86914;9.56055;9.44849;9.3366;9.22489;9.11334;9.00196;8.89075;8.77971;8.66883;8.55812;8.44756;8.33717;8.22695;8.11688;8.00697;7.89722;7.78762;7.67819;7.56891;7.45978;7.35081;7.24199;7.13332;7.0248;6.91643;6.80821;6.70014;6.59222;6.48444;6.37681;6.26932;6.16198;6.05478;5.94773;5.84081;5.73404;5.6274;5.5209;5.41455;5.30832;5.20224;5.09629;6.98459;6.36762;5.8288;5.35302;7.71113;6.94812;6.29803;10.1656;8.90376;7.89052;7.05651;12.8281;10.8602;9.37993;8.22223;15.2945;12.5285;10.5688;9.10279;24.5803;18.102;14.2726;11.7345;9.9225;34.4224;22.7328;16.9069;13.4053;11.06;60.7252;31.5097;21.1982;15.9099;12.6817;321.717;53.6146;29.1494;19.9416;15.0943;inf;201.791;48.1695;27.2569;18.9334;14.4451;inf;145.793;43.5696;25.5223;17.9764;inf;inf;114.365;40.0038;24.1547;17.2316;inf;inf;93.7756;36.8998;22.8844;36.7849;22.779;inf;200.851;46.2769;26.0587;32.3515;20.8889;inf;inf;inf;62.3784;30.4045;20.0226;inf;inf;899.372;55.7022;28.6431;19.2016;inf;inf;338.763;50.242;27.0376;inf;102.202;37.2189;22.6661;inf;inf;inf;86.0253;34.7926;21.7221;inf;inf;inf;74.2286;32.6344;20.833;inf;inf;inf;65.2189;30.6967;19.9923;inf;inf;inf;58.0922;28.9426;63.4804;30.1507;133.328;40.1022;23.511;inf;inf;inf;107.488;37.3877;22.5424;inf;inf;inf;90.0402;34.9938;21.6321;inf;inf;inf;77.4328;32.8609;20.7731;inf;inf;inf;67.8696;30.9432;19.9592;inf;inf;inf;60.3455;29.2051;61.8362;29.4751;inf;77.1981;32.5078;61.67;29.3016;inf;inf;inf;125.072;38.7831;22.8608;inf;inf;inf;102.541;36.295;21.9631;inf;inf;inf;86.8804;34.0833;21.1154;inf;inf;inf;75.3326;32.0989;20.3118;inf;inf;inf;66.4407;30.3036;19.5472;inf;inf;inf;59.3633;28.6673;44.8736;24.7121;inf;inf;inf;167.642;41.7357;23.7431;inf;inf;inf;130.504;38.9952;22.8327;inf;inf;inf;106.898;36.5743;21.9738;inf;inf;inf;90.5262;34.4144;21.1602;inf;inf;inf;78.4724;32.4702;20.3868;inf;inf;inf;69.2028;30.7065;19.6491;inf;inf;inf;61.8329;29.0951;18.9434;inf;inf;inf;55.8169;27.6135;18.2664;inf;inf;710.628;50.7997;26.2435;17.6151;inf;inf;324.882;46.5404;24.9699;inf;71.6817;30.7238;19.4695;inf;inf;inf;
;3;inf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
;4;11.8819;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.4527;20.3722;20.2915;20.2108;20.1299;20.049;19.968;19.8869;19.8058;19.7245;19.6432;19.5617;19.4802;19.3986;19.3169;19.2352;19.1533;19.0714;18.9893;18.9072;18.825;18.7427;18.6604;18.5779;18.4953;18.4127;18.33;18.2472;18.1643;18.0813;17.9983;17.9151;17.8319;17.7486;17.6652;17.5817;17.4981;17.4145;17.3307;17.2469;17.163;17.079;16.9949;16.9107;16.8264;16.7421;16.6577;16.5731;16.4885;16.4039;16.3191;16.2342;16.1493;16.0642;15.9791;15.8939;15.8086;15.7233;15.6378;15.5522;15.4666;15.3809;15.2951;15.2092;15.1232;15.0372;14.951;14.8648;14.7785;14.6921;14.6056;14.519;14.4323;14.3456;14.2588;14.1718;14.0848;13.9977;13.9106;13.8233;13.736;13.6485;13.561;13.4734;13.3857;13.2979;13.2101;13.1221;13.0341;12.946;12.8578;12.7695;12.6811;12.5926;12.5041;12.4155;12.3267;12.2379;12.149;12.0601;11.971;11.8819;23.1011;23.0212;22.9412;22.8611;22.781;22.7008;22.6205;22.5401;22.4596;22.3791;22.2985;22.2178;22.137;22.0562;21.9753;21.8943;21.8132;21.732;30.0442;29.9698;29.8954;29.8208;29.7462;29.6716;29.5968;29.522;47.7036;47.6437;47.5836;47.5236;47.4634;47.4032;47.3429;47.2826;47.2221;47.1616;47.1011;47.0405;46.9798;51.9112;51.8545;51.7977;85.0702;85.0405;85.0108;84.981;84.9512;84.9213;84.8913;84.8613;84.8313;84.8012;84.771;84.7408;84.7105;84.6802;84.6498;84.6194;84.5889;109.826;109.815;109.805;109.795;109.785;109.775;109.764;109.754;109.744;109.106;191.642;191.698;191.754;191.809;191.865;191.921;191.976;192.032;192.087;192.143;192.199;192.254;192.31;192.365;192.421;192.476;192.532;192.587;192.642;192.698;192.753;192.809;192.864;192.919;192.975;193.03;193.085;193.14;193.196;193.251;193.306;193.361;193.416;193.472;193.527;193.582;193.637;193.692;193.747;193.802;193.857;193.912;193.967;194.022;194.077;194.132;194.187;194.242;194.297;194.352;194.406;194.461;194.516;194.571;194.626;194.68;194.735;194.79;216.905;216.978;217.05;217.122;217.194;217.266;217.338;217.41;217.482;217.554;217.626;217.698;217.77;217.842;222.951;223.027;223.103;218.669;318.114;318.264;318.414;318.565;318.715;318.865;319.016;319.166;319.317;319.467;319.618;319.768;319.919;320.069;320.22;320.37;320.521;320.672;320.822;320.973;321.124;321.274;
;5;10.7145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.1389;inf;321.368;45.9411;24.6431;16.7626;inf;inf;214.028;42.5857;23.5515;16.203;inf;inf;159.889;39.6208;22.5203;15.6586;inf;inf;127.18;36.9759;21.5427;91.4986;33.0139;20.0539;inf;inf;inf;80.0535;31.3597;19.4143;inf;inf;inf;71.1124;29.8395;18.798;inf;inf;inf;63.9168;28.4345;18.2028;inf;inf;inf;57.9861;27.1292;17.6267;inf;inf;inf;53.0016;25.9107;17.068;inf;inf;1223.18;48.7432;24.7683;40.0296;22.2184;inf;inf;inf;150.199;37.7964;21.5266;inf;inf;inf;92.6798;32.673;19.7454;inf;inf;inf;81.2262;31.0956;19.1431;inf;84.6582;31.5257;19.2834;13.8215;10.7145;inf;74.4033;29.5224;18.3301;13.224;inf;inf;66.7821;27.9971;17.6279;12.7973;inf;inf;35.638;20.3017;14.1216;inf;inf;67.1833;27.6381;17.3139;10.9339;inf;153.801;35.5708;20.0185;13.8559;inf;inf;127.666;33.6863;19.3119;13.4642;inf;inf;90.748;30.1615;16.0338;11.7205;inf;inf;51.8585;23.8913;15.4404;inf;inf;250.535;37.6318;20.2482;13.7755;inf;inf;189.488;35.6091;18.6546;12.9691;inf;inf;110.426;31.1055;18.0119;inf;116.375;31.4234;16.9453;inf;inf;inf;54.7492;23.9997;15.2863;inf;inf;inf;51.083;23.2053;14.9316;inf;inf;inf;47.8284;22.4415;14.5802;inf;inf;inf;44.914;21.7056;14.2319;inf;inf;inf;42.2842;20.9951;51.7224;23.0226;31.2344;17.7221;inf;inf;inf;109.698;30.1251;17.3692;inf;inf;inf;96.7832;29.079;17.0203;inf;inf;inf;86.5917;28.0893;16.6752;inf;inf;inf;78.3281;27.1498;16.3334;inf;inf;inf;69.1222;25.9253;15.8689;inf;inf;inf;63.689;25.0858;15.5342;inf;inf;inf;58.6806;24.2254;15.1994;inf;inf;inf;51.2152;22.79;14.5743;inf;inf;inf;48.0338;22.0732;14.2483;inf;inf;inf;45.1772;21.3806;30.5454;17.3365;inf;inf;inf;
;6;0.603985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.67158;0.703985;0.603985;0.652306;0.764635;1.03364;1.89772;28.0999;27.9999;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
;7;0.239479;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.832267;0.732267;0.632267;0.532267;0.432267;0.332267;0.294225;0.261666;0.239479;0.240835;0.317563;1.09301;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
;8;1.79034;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;10.2583;2.99484;1.79034;1.97658;1.87658;3.73949;3.63949;3.53949;3.43949;inf;inf;inf;4.36998;4.26998;25.2674;25.1674;25.0674;24.9674;inf;inf;inf;inf;inf;inf;6.47101;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;
;9;0.402249;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.502249;0.402249;0.402811;0.437082;0.555622;1.01124;2.04941e+015;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;22.6296;22.5296;22.4296;inf;inf;inf;inf;25.5731;25.4731;25.3731;inf;inf;inf;inf;28.5165;28.4165;28.3165;inf;inf;inf;inf;13.5686;13.4686;inf;inf;inf;inf;inf;9.48473;inf;inf;inf;inf;inf;inf;inf;inf;inf;35.5861;35.4861;35.3861;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;inf;48.7611;inf;inf;inf;inf;inf;50.633;inf;inf;188.898;26.5126;inf;inf;inf;inf;193.786;27.2013;inf;inf;115.748;24.8951;inf;inf;inf;49.4847;19.3672;inf;inf;inf;inf;50.2724;19.6771;inf;inf;268.575;29.0522;15.2597;inf;inf;inf;270.438;29.2545;15.3667;inf;inf;inf;272.302;29.4568;15.4736;inf;inf;inf;274.166;29.6591;15.5806;inf;inf;inf;276.03;29.8615;15.6876;inf;inf;59.4402;21.2909;12.8812;inf;inf;inf;59.3738;21.267;12.8667;inf;inf;inf;59.3075;21.2431;12.8521;inf;inf;inf;59.2411;21.2192;12.8375;inf;inf;inf;59.1747;21.1953;12.823;inf;inf;inf;59.1084;21.1715;12.8084;inf;inf;inf;59.042;21.1476;12.7939;inf;inf;inf;58.9756;21.1237;12.7793;inf;inf;inf;58.9092;21.0998;12.7647;inf;inf;inf;58.8429;21.0759;12.7502;inf;inf;inf;58.7765;21.052;12.7356;inf;inf;inf;58.7101;21.0281;12.721;inf;inf;inf;58.6438;21.0043;12.7065;inf;inf;inf;58.5774;20.9804;24.7698;13.9834;

